,text
16930, Medical Representative Pharma| Healthcare| Pharmacy| Medical Representative| Training| Trade
16931, Social Media Manager Online marketing| SEO| Social media| SMO| Media strategy| Social media optimization| Corporate| Management| Business Executive
16932, Content Writer (content Writer jobs in Bangalore) Web Content| Content writing
16933, Centre Director - Mall Management Budgeting| Mall Operations| Mall Management| Finance| Team Management| Commercial Leasing| Marketing| business development| client servicing| relationship management
16934, Principal Architect - Java Full Stack Development Open Source| SOA| Scalability| Software Architecture| Cloud| Big Data| Technical Design| Microservices| Solution Architecture| Professional Services
16935, UI Developer Ajax| jQuery| Data warehousing| XHTML| MVC| JSON| Backend| Interaction design| Medical insurance| Web technologies
16937, Assistant Manager - Credit Operations Interpersonal skills| Mutual funds| Back office| Investment products| Credit operations| Excel| query
16938, Sr Data Analyst II SAP| Business analytics| Analytical| Corporate finance| Business intelligence| Forecasting| Operations| Monitoring| CRM| Salesforce
16939,Urgent Opening | Senior Software Engineer - Scrum | Swedish MNCAgile Methodology|Software Development|Scrum Master|Android Development|iphone development|scrum methodology|Embedded|AWS|firmware|Mobile Application Development
16940, Assistant Manager Purchase Purchase Management
16941, Senior Consultant ITMS Reservation| Ticketing| Transport Management| Senior Consultant
16942, Director - Engineering - Iit/nit - Startup css| python| project management| java| php| html| mysql| jquery| ruby
16943, Engineer/sr Engineer - Java/j2ee Technologies Core Java| J2Ee| Hibernate| Spring| Struts| JDBC| ORM| Design Patterns| Oracle| Javascript| Java| Application developer
16944, Hiring For PHP For UK Based Company @ Hyderabad PHP| Zend| LAMP
16945, Receptionist Email| SCO| Networking| phone| Spring| Banking| Marketing Executive| Advertising| Corporate
16946, Magento Developer Troubleshooting| Service| Web development| E-commerce| Web services| Backend| Time management| Interpersonal skills| Offshore| Verbal| c| development| design| erp| software| website| architecture| magento| developer| ui| com| pl| web| it
16947, Computer Teacher Excel| Macros| VBA| MIS Reporting| MS Office| Computer Teaching| Typing Speed
16948, UI Developer Core Java| jQuery| Ajax| Java Servlets| Usage| css| Integration testing| testing| developing| JSON| Unit testing| bootstrap| Internship| PDF| java
16949, State Head pipeline| physical education| magic| sports| pms| program| social work| sustainability| performance management system
16950, Assistant Portfolio Manager motivation| achieving targets| ms office
16951, Business development executive Cold calling| Business Development Executive
16953, Matlab Developer Freshers PHP| MATLAB
16954," Retail Store In-charge/3-5.50 lacs P.a./aundh, Pune Retail| Store Management| inventory management"
16955,IBM Sterling CommerceBusiness process|Production support|Manager Technology|J2Ee|Outsourcing|Sterling commerce|Operations|Order management system
16956, Verification Engineer - System Verilog ASIC| VHDL| C| FPGA| SoC| Verilog| Verification| LTE| UVM| System Verilog| Scripting
16957, Full Stack Developer ( NodeJs ) Web development| HTML| Javascript| CSS| development| Architecture| Programming| microservices| Backend| Front end| ui| web| design| MongoDB
16958, Operation Manager for Banking Collection Performance Review| Banking Collection| Capacity Planning| Operations| SLAS| People Management| SLA| Client Management| Legal
16959,Mega JOB Fair for Fresher @ Chennai with CTC Up to 17Ktelecaller|Cce|bca freshers|Customer Service Associate|fresher female|Senior Customer Service Associate|tele sales|CSA|tele caller|telecaller female|Customer Care Executive|telcaller|Telecalling|tele marketing executive|b.a freshers|b.com freshers
16960, Coaches For Co-scholastics professor| education| lecturer| teaching| training
16961, Unified Communications Regional Operations Lead Wireless| Change management| Operational excellence| WAN| LAN| microsoft| Stakeholder management| cisco| SLA management| Unified communications
16962, Mobile App Test Engineer Automation| Python| Troubleshooting| Test design| Test scenarios| Testing| Web services testing| Test estimation| Test planning| Scripting
16963,"Business Delivery Manager Required For British Council, GurgaonService Level|Sales|Customer Experience|Purchase Order|Vendor Management|Business Delivery|Management Systems|Operational Support|Quality Standards|Claims Processing"
16964, support executives SAP| Consulting| SAP implementation| Analytical| Interpersonal skills| MIN| Testing| Business Executive
16966, Hiring For Voice Process - 5days Working - TP Gurgaon - Sal 25K customer service executive| customer support executive| customer service| Inbound Calls| Calling| customer care| customer service representative| Voice Process| customer support| customer care executive| International BPO
16967, .Net Web Developer C#| Web Technologies| C#.Net| .Net| SQL Server| ASP.Net MVC| Web Development
16968, Admin Executive- Only Female Candidates Administration| Office Management| Admin Executive| Stationery| Payment Processing| Cafeteria| Leased Line
16969,Service Desk Engineer Level 2Desktop Management|Windows Mobile|Customer Service|Remote Support|Mobile Device Management|Technical Support|Service Desk|Altiris|Troubleshooting|SSCM|Android|Information Technology
16970, Associate Director- Digital | Global Marketing Agency Business Development| Media Planning| Campaign Planning| Digital Marketing| Digital Strategy| Client Servicing| Social Media| Region| ROI| Team management| Data analysis| P&L| Project planning| Business Pitch| Upselling
16971,Salesforce Technical ArchitectureSalesforce|SFDC|Apex|Service Marketing|Sales|Technical Design|Requirement Gathering|Technical Architecture|Business Strategy|Salesforce Technical Architecture
16972, Industrial Designer cad| unigraphics| surfacing| industrial designer| in design| tool design| pro e| 3d| software| be
16973,Hyperion ConsultantHyperion
16974, Openings For Accountant Position in Chennai with 1-2 Years Experience Tally| tds| Excel| Invoice Processing| Accounting| Account Management| client servicing| tax| Accountant| Taxation| accounts| Invoicing
16975, Senior Financial Functional Consultant Oracle Apps| Test scripts| Gap analysis| Taxation| Solution design| IT consulting| Accounting| IPROC| Oracle financials
16976, Sampling benefits| area| development| process| sampling| merchandiser| people| buyer| who
16977," Lead Software Engineer , LMTS - EI CVS| Data analysis| Change management| Data modeling| Business analysis| XML| Data structures| Oracle| RFP"
16978, TECHNICAL SUPPORT ENGINEER Computer science| SMTP| data security| Debugging| Active directory| DNS| Network security| HTTP| Remote support| Technical support
16979, Mechanical Packaging-thermal Design| Solid Edge| AutoCAD| Teamcenter| Ansys| Thermal Analysis| Product Life Cycle
16980, Senior Java Developer For Our MNC Client-permanent Position CSS| Spring Mvc| Design Patterns| HTML| Spring| core java| JDK| Rest| Bootstrap| Web Services| soap| Senior Java Developer
16981, Team leader E-learning| Operational risk| Compliance| management| MIS| Reconciliation| Banking| Money laundering| Workflow| Downstream
16982, Application Application software support| RCA| Root cause analysis| Data migration| Client relationship management| Analytical| Software solutions| Monitoring| Software troubleshooting
16983, BD Manager West for Fortune 500 HR Company. sales initiatives| marketing| new business development| prospecting| lead generation| recruitment| hiring| bd
16984, Hiring For Teleperformance Voice| Voice Process| international bpo| bpo| Inbound| Customer Service| customer service executive
16987, Urgent Requirement English Editor for Rohini Sec- 24 Delhi editor| Academic Research| Proof Reading| Technical Skills| Editing| Content Writing| Academics| creative writer| Proof Reader| english content writer| writer| content editor| content writer
16989, Informatica developer Informatica| PLSQL| Performance tuning| Unix shell scripting
16990, SPORT LEADER FOOTBALL Budgeting| Merchandising| Forecasting| Recruitment| Management| Cost
16991, Business and Integration Architect Architecture| Infrastructure| Agile methodology| Architecting| Outsourcing| Business strategy| RFP| Operations
16992, Graphic Designer / Visualiser ( Freshers / Experienced ) Andheri graphic designing| brochures| marketing communication| visualiser| visual design| visualizing| graphics| fine arts| design studio| art| advertising| branding| promotion| logo| bfa| creative| designer| web designer| btl| content creation| photoshop| fresher| trainee
16993, Senior Delivery Manager C#| .Net| ITIL Certified| Production Support| Delivery Management
16994, Inbound Sales Process Sales Associate| Technical support| Inbound sales| Issue| Senior| Technical| Inbound calls| Bonus| US shift| Time
16996, Analytic Consultant 2 SAN| SAS| Asset management| Dms| Risk management| Data mining| Financial services| SQL| Python
16997, Cluster Head MIS reporting| Senior management| Cluster Head| Retail banking| Banking| Flex| Executive search| banking products| Service quality| Financial services
16998, Urgent Opening For Windows Web in Gurgaon c#| Portfolio Management| Web Technologies| .net| Windows
16999, Area Manager - Collections / Senior Area Manager - Collections Auditing| Monitoring| People management skills| Relationship| Training| Management| Legal| Cost
17000, Urgent Opening_dietitian_healthcare Industry_hyderabad_20k teaching| counselling
17001, Graphic Designer Graphics| Web technologies| Animator| Interaction design| Corel Draw| PHP| Web designing| Photoshop| Adobe
17002, Dotnet Developer - Websym Solutions - Pune wcf| asp.net mvc| azure| api| MVC| Angularjs| UI Developer
17003, VP- Business Finance- Mumbai (urgent) accounting| business finance| chartered accountant| ca| FPA| financial analysis| financial planning| budgeting| forecasting| financial reporting
17004, Associate - Payroll Payroll| ERP| Interpersonal skills| Claims| Data management| Compliance| Labour laws| ESIC| Variance analysis| Software services
17005, Technical Consultants : ERP| Offshore| Coding| microsoft| Microsoft Dynamics AXAPTA| Technical documentation| Testing
17006, Plant Head / Plant Manager Planning
17007, Client Care Executive - Standard Chartered Bank self service| service quality| inbound calls| customer satisfaction| customer service| customer care| communication skills
17008, Patent & IP Expert / Advisor / Consultant ip| licensing| valuation| domain| application| experts| end| expert| consultant| local
17009, Day Shift - Voice Support non voice process| international bpo| chat process| bpo non voice| fresher| email support| non voice| customer support| customer support associate| semi voice| international voice process| us shift| uk shift| international call center
17010,Java Developerjava developer|java j2ee developer|spring boot|Spring|hibernate|servlets|Angularjs
17011, iOS Developer JSP| Windows| Animation| UX| Cocoa touch| IOS| SQL database| Oracle SQL| C| Rest
17012, Lady Linguist for UN Secretary Bandra Mumbai English| Marathi| Hindi| Secretarial Activities| french| german| spanish| Japanese
17013,RF Design Engineer (project Co-ordinator)Drive Test|RF Design|LTE|RF Survey|Project Coordination|Public Sector|Google Earth|Life Sciences|Design Engineering|Team Handling
17014, PHP Developer jQuery| MySQL| Ajax| SUB| CSS| development| software| Web development| developing| web| php| Core PHP| applications
17015, Tele Sales Executive Telesales| tele marketing executive| tele sales executive| telemarketing| Sales Executive Activities
17016, Full Stack Developer javascript| React.Js| Node.Js
17017, Want a Fluent Candidates for Mnc's - Voice & Non Voice international voice process| international bpo| international call center| tele calling| bpo| tele caller| night shift| fresher| customer service| customer support| Cbse| isc| st.
17018, Sr. Software Engineers (PHP) - Product Development ajax| erp| product development| php mysql| database design| life cycle| passionate| hard working| develop software| quick learner
17019," Walk-in for Cambridge University Press @ Tech Mahindra, Hyderabad EPUB| JIRA| PDF| CSS| HTML| XML| PROOF READING"
17020, Sr . Specialist Ad Sales Ad sales| Digital marketing| MS Office| Analytical skills| Digital media| SSP| Sales| Sensors| Monitoring
17021, Land Surveyor Legal| Land surveyor
17023, Architect data models| enterprise application integration| soa| design development| software design| implementation| information security| business analysis| service oriented architectures| sql
17024, TTT - Service Delivery - Manager IT services| Solution architecture| PMP| CAPM| Project management| Project planning| Application development| Project delivery| Information technology| Monitoring
17025,Job Opportunity For Oracle Financials Techno-functional Consultant-hydap|gl|r12|oracle e - business suite|ar|ebs|oracle ebs|oracle financial techno functional|OAF|ADF
17026, Business Support Executive / MIS Executive Billing| sap| v lookup| pivot table| sales coordination| mis reporting
17027, PLANNING SR ENGINEER Billing| Civil engineering| Senior| HVAC| Fire safety| Business Executive
17028, Recruitment Consultant Due diligence| Underwriting| Analytical| Consulting| Workflow| Cash flow| HTML| Financial modelling| Operations| Recruitment
17029, Opening for Leading Insurance Comapny-chennai/bangalore/hyderabad sales| sales manager| relationship manager| relationship officer| telecom sales| insurance sales| general insurance sales| health insurance| Sales Executive| sales officer| marketing executive| business development executive
17030," Technical Specialist - Presales (adas, C++) ADAS| C++| HIL| SIL"
17031, Hub Incharge operations| logistics management| retail operations| logistics operations| store manager| store operations| store incharge
17032, Software Tester QA QTP| Manual testing| Automation| Selenium| Test cases| SQL queries| Manager Quality Control| Web technologies| Automation testing| QA
17033, Tele Counsellor counselling| counsellor| hindi| communicating| speaking english| tele sales| career counselling| communication skills
17034, corporate sales bde Recruitment| Hospitality| Aviation| Corporate sales| Business Development Executive
17035,Senior Software Engineer _javaSolution design|Hibernate|Web services|CGI|Storage management|Architectural design|Agile|Technical leadership|Spring|Risk analysis
17036, Collection Officer NBFC| Interpersonal skills| Legal| Banking| Networking| UPS| Monitoring
17037,Very Urgently Required Team Lead(recruitment)team recruitment|Team Leading|business associate development
17038, Redian Software React Native developer Monitoring| GIT| Javascript| Android| Mobile applications| ios development| Web technologies| Architecture| JSON| Banking
17039, Tech Lead - Dot Net Developer - SQL C#| VB.NET| Windows Services| Com+| SQL Server| SDLC| SQL| MS SQL| Stored Procedures| .Net| ASP.Net| ASP| Web Services
17040, Accountant Tally| TDS| Financial statements| Financial reporting| Finance| Service| Account management| Accounting software| Tax returns| WHO
17041, Marketing Engineer Direct Marketing| marketing executive| distributors| customer profiling| sales strategy| market research| Business Development| sales executive| Marketing
17042, Urgent Requirement for Service Engineer Service Engineering
17043, Risk Assessment and Mitigation Plan IT services| Android| Risk assessment| Resource utilization| enterprise mobility| mobile| developing| Mobile applications| it| Design development| Business case| applications
17044, Sales Engineer - Bangalore Sales Budgeting| Sales Engineering| Payment Collection| Supply Chain| Customer Complaints| sales| Business Development
17045, Key Account Manager - Real Estate Analytical skills| Career development| Construction| Building construction| Sales| Relationship building| Project delivery| Sales management
17046, Onboarding Specialist (Italian) Operational excellence| Analytical| Computer science| Customer experience| MS Office| E-commerce| Excel| Relationship| Recruitment| Management
17047, Talent Consultant Customer service| Cold calling| Project management| Relationship management| Market intelligence| Social networking| cxo| Business administration| interview scheduling| Interpersonal skills
17049, Reporting and Reconciliation: Reconciliation| Sales tax| Payroll| Cash flow| Business analysis| Journal entries| Continuous improvement| Windows| Accounting| Banking
17050, Executive Assistant Female Vasant Kunj Data entry| Front Desk Executive| Area Executive| Secretary PA| Counsellor| Management
17051,Cyber Transformation Assistant Manager / ManagerAnalytics|Risk management|Auditing|Monitoring|Networking|Information security|Vulnerability management|Cism|Operations|Linux
17052, FullStack Developer c++| C| design| MySQL| JavaScript| HTML
17053, SEO EXECUTIVE Coding| Social media| PHP| Internet marketing| HTML| Web designing| Link building| SEO| Digital marketing| Client management
17054, Software Engineer/ Lead/ Architect - Java/ J2EE Java| DevOps| RDBMS| MySQL| J2EE| Webservices| AWS| Monitoring Tools| Scripting| Operating Systems
17055, Opening for Network Support Engineer in IT Source Technologies networking| bpo| network support| inbound process| it training| iso 27001| management services| iso 20000| iso 9001| fresher| diploma| bca| mca| Engineering| Engineer
17056, Sales Officers/Sr. Sales Officers Credit Officers| Capital Advisors| Risk Management| Administration| Analysts| Data Entry| Report Generation
17057, Immediate.-for Female Front Desk Executive- Gurgaon Sec-50 administration| receptionist activities| receptionist| front office| front desk| front desk executive| receptionist front office| guest handling| office administration| office assistant| office coordinator| admin| admin executive| Guest Relations| Hotel
17058, Accounts Executive Supply chain| Credit Officers| Finance| Business Executive| Accounts| Risk Management
17060, Automation Architect Framework design| Automation| Selenium
17061, Webservices Testing Recruitment| BPO| Supply chain management| Test scripts| ITES| Performance improvement| Technology consulting| Technology solutions| Financial management| Web services testing
17062, Urgent Opening for Informatica Developer _noida Informatica
17063, SAP SD Consultant Windows| ERP| Telecom| SAN| Agile| Customer service| Healthcare| Order management| IT services| Machine learning
17064, Plumbing Engineer -Design for Gurgaon Plumbing| Design Engineer| AutoCAD| Costing| Pharma| Tools| Autodesk| Civil engineering| Process engineering| Business Executive
17065, Senior Manager- Finance Statutory Audit| Internal Audit| Finance| MIS| Banking| Project Accounting| Accounts Receivable| Fixed Asset Accounting| Bank Reconciliation| Auditing
17066, Chartered Accountant - ( Manufacturing - Noida ) taxation| income tax| tds| financial management| banking| general management
17067, Director - Medical Coding Change management| Medical billing| Performance management| Coding| Medical coding| Healthcare| Workflow| Outsourcing| Business operations
17068, Cloud Engineer Log shipping| Cloud| Database administration| SQL Server| Performance Tuning| Troubleshooting| SQL DBA
17069, HR Head - Garment Export House Delhi NCR - Rs 18 Lakh Per Annum hr compliance| training| compliance management| export house
17070, Business Development pm| copyright| development executive| sr development| solutions| development manager| hr| salary
17071, Automation - Selenium Test Engineer - Contract To hire - reg. Test Engineering| Selenium Testing
17072,Business Development Manager- F&BBusiness Development Management|Sales|Startup
17073, Mobile Product Manager Android| Recruitment| Strategic planning| Usage| product life cycle| Customer experience| Product life cycle management| Testing| Management| Hardware
17074, Associate_Client Matter & Support CRM| Billing| Document management| data cleansing| Usage| Time management| Management systems| professional services| Excel| Client servicing
17075, Business Development Jobs in Extentia  International marketing| Hospitality| Internet marketing| Distribution network| Software services| microsoft| Email| Business Development Executive| CRM| Lead generation
17076, Senior Executive Performance tuning| Change management| Data migration| Production support| Ab Initio| Teradata| Business intelligence| Data warehousing| Unix shell scripting| Remedy
17077, Sales profile Interpersonal skills| Outbound sales| Sales Executive| Investigation
17078," Data Scientist-junior, Senior and Assistant Manager Data Science| Business Intelligence| Business Analytics"
17079, Ground Staff - Air Hostess Interviews for Delhi Airport (only Female) BPO| Air Hostess| ground staff activities| arrivals| Ground Handling| customer service| Airport Operation| aviation| Customer Service Associate| airport| CSA| ticketing| Cabin Crew| Fresher| Call Center| Air Ticketing
17080, Physiotherapist Nursing| GNM| General surgery| Oncology| Ultrasound| medical records| EEG| Staff Nurse| Assistant Manager Marketing| Scrub Nurse
17081, Civil- Assistant Professor Teaching| Educator| Counselor| Mentor| Trainer| Advisor
17084, Marketing & Sales Executive online marketing| social media| viral marketing| ideas| marketing strategies| sales executive| marketing sales| creative thinking| enthusiastic| responsible
17086, Web Developer HTML| Linux| XML| development| c| level| JSP| it| WPF| monitoring| jQuery| MySQL| Application development| Photoshop| Python
17087, Job Opportunities For MBA Freshers Kolkata Finance Manager| Audit Associate| Process audit| Auditing| Manager Internal Audit| Operations| English| mba finance| ICWA| P Tax
17089, Software Engineer NoSQL| Web services| Cloud| Troubleshooting| Monitoring
17090, Pay Per Click Expert customer | monitoring| ppc| tracking| analytics| web analytic
17091, Management Trainee Management Trainee
17092, Business Development Manager-mumbai b2b| enterprise sales| training| business development| bdm| solution sales| corporate sales
17093, Lead - Java Developer Hibernate| Coding| J2Ee| System testing| Banking| Struts| SVN| Test cases| Management| Unit testing
17094, Chartered Accountant For Birla Educational Institute Kalyan Accounting| MIS| Chartered Accountant| Gst| Statutory Compliance| Taxation
17095, Deputy General Manager - Service Assurance Business excellence| Change management| Service operations| Incident management| SAT| Service management| Automation| Service assurance| Problem management| SIP
17096, Java Application Developer Application Development| Core Java
17097, Hiring For Genesys Engineer !!! Gurgaon  Java| C++| IVR| interactive voice response| Genesys| Genesys Framework| Voice| Agile Development| email
17098, Manager - Electronic Payments Project management| Agile| Scrum| Product management| Cash management| Test cases| Risk management| Business solutions| STP| Auditing
17099, Hiring for senior SEO Executive Analytics| Auditing| HTML| Link building| Algorithms| Keyword research| Search engine| Guest| Senior SEO Executive| Off-page optimization| c| seo| css| software| service| website| ui| com| optimization| research| web| net| it| quality
17100, Big Data Developer Solr| Cassandra| Hadoop| MongoDB| Spark
17101, Cyber Security Engineer nessus| vulnerability assessment| penetration testing| security+| mcsa| server+| ccna
17102, Project Manager- (PAN India) planning| senior management| project management| PMP| project control| scheduling| PMP Trained| PMP Certification| metrics| proposals| change management
17103,Senior Qa Engineer (hci)C|Java|Quality Assurance Engineering|Automation Testing|Python|Test Strategy|QA|Test Cases|Software Engineering|Exploratory Testing
17104, Trading Manager (agro Commodities Only) trade| Trade Marketing| Agro Commodities| Commodity Trading
17105, Head Bancassurance insurance| new business| insurance sales| bancassurance| branch banking| banca
17106, Admin - Facilities - Freshers and Experts Administration| Office Administration| Admin Executive| Facility Management| Facility Administration| Facility Operations
17108, Cybage Software- Hiring for Bigdata Professionals hadoop| hive| flume| sqoop| mapreduce| hdfs| spark| scala| java| core java| python
17109, Sales Executive Wireless| Leased line| Sales Executive| Business Executive
17110," C++ Developer(sip/ Diameter/ Radius Protocol),8+ Years c++| Diameter| Radius| SIP| Protocol"
17111," Business Development Executive For Online Work , Part time and work fr part time| freelance| online marketing| advertising| online promotion| back office| bcom| ba| bms| mba| bsc| fresher| trainee| business development| Team Leading| teams leader| teams manager"
17112, Executive Assistant / Sr. Manager to Director Financial Analysis| Finance
17113, Delivery Module Lead Windows| VMware| SDLC| Configuration management| Virtualization| Change management| WinTEL| Release management| BPO| Incident management
17114, Opening with India's Largest Online B2B Marketplace| Avp-sales | Noida Sales| Go - to - market Strategy| SME| Direct Sales| Inside Sales
17115, Asp.net Programmer ASP.Net| SQL Server| MVC| C#.Net| C#| .Net| Software Development| Html5| Web Technologies| Application Development
17116, Hiring going on for US Inbound Tech Support Service| Technical support| Night shift| Cold calling| process| Outbound sales| Packaging| US shift| Printers| International BPO
17117, Assistant Manager / Marketing Executive - Project Sales - South Delhi Glazing| Tiles| Plastering| Plaster| Finishing| Flooring| Cement| POP| Grinding| Polishing
17118, GRAPHIC DESIGNER GRAPHIC DESIGNER
17119, Site Technician electrical technician| technician activities| electrical equipments| access control| networking| technician| cctv
17120, Executive - Customer Support Oracle ERP| Customer Support
17121, Web Publisher CSS| Email| jQuery| Web technologies| Javascript| Writing| Video conferencing| HTML| Spoken english| Business Executive
17122, Database Migration Specialist MySQL| Project management| Troubleshooting| Customer service| Test planning| Postgresql| Computer science| Continuous improvement| PGSQL| Performance optimization
17123, HUGE Opening in intl bpo Voice Tech/customer Support (Night Shift) Outbound| Customer support| Technical support| Technical| Inbound calls| Domestic BPO| Service| US shift| Night shift| Comp
17124, Urgent Opening For Bde/asst Manager Sales - Casa/fd - Gurgaon- Bank Casa| Business Development| Field Work| Sales Executive| sales officer| business development executive| marketing executive| sales marketing| direct sales| direct selling
17125, Linux Engineer puppet| technical support| linux server| incident management| emc| redhat| patch management| rhce| red hat certified engineer
17126, ERP Functional Consultant Computer science| Business administration| Supply chain management| ERP| System engineering| Accounting| ERP functional| Business Executive| Inventory
17127,Genpact Drive For Semi-technical Chat Process - 16th Julymca|bca|btech|technical|tech support|fresher|wipro|dell|ericson|teleperformance|call center|genpact|ccna|contact center|panasonic|digital products|home appliances|troubleshooting|hcl|samsung|policybazaar|chat|chat support executive|chat process
17128, National Sales Manager Sales Management| FMCG| National Sales| Heading Profit Centre
17129,Salesforce DevelopmentJavascript|XML|HTML|Workflow|Coding|Computer science|Business process|Outsourcing|Operations|Visualforce
17130, Manager- Advertising & Marketing Media Buying| Media Planning| Advertising
17131, Urgent Requirement : Dot Net Developer oops| .net| windows server| multithreading| dot net| multithread programming| Agile Development
17132, PHP Developer XML| Ajax| HTML;Javascript| Core PHP
17133, Opening For DotNet Developer Fresher @ Andheri C#| ASP.Net| ASP| .Net| SQL
17134, Technical Architect - Java Development - Spring//rest API Java| Spring| Technical Architect| NoSQL| RDBMS| AWS
17135, Data Warehouse Architect data modeling| teradata| bi| data warehousing| edw| etl| master data management
17136, Content Writers BPO| English| Email| Content| Back office| Service| Customer care| Content writing| Digital marketing| MS Office
17137, Senior Sales Manager Outbound| Sales| Corporate| MICE
17138, Field Marketing Executive order processing| competitor analysis| field marketing| customer satisfaction| data mining| business development| market research| region
17140, Senior .Net Developer(4-8yrs) Asp Net| .Net| ASP.Net MVC
17141, Mega Job Hiring For International Non Voice(email Chat) Upto 28k Domestic BPO| International Call Center| Voice process| Non voice process| bpo| kpo| Ites| Semi voice process| cse| csr| tsr| chat process| email support| freshers| undergraduates| Inbound| Outbound| Semi voice
17142," Hiring Dotnet Tech Leads for MNC Based in Sanpada, Navi Mumbai loc .Net| WPF| Angularjs"
17143, Medical Representative Pharma| Relationship| Pharma marketing| Pharma selling| Pharmaceutical sales| Monitoring
17144, Therapist (F) Hotel management| SPA| Wellness| Luxury| Naturopathy| Policies| Law| Guest| Business Executive| Hotel
17145, Bpo Day & Night Shift | Call Center | CCE | Inbound Proces |No Target bpo| call center| cce| inbound| calling| voice| accent| soft skills| fresher| customer service| customer care| customer support| csr| outbound| telesales| undergraduate| intermediate| Male| English
17146, Need 10/12th pass out for Customer Care Executive / BPO / Call Center BPO| Call Center| Inbound| Cce| Calling| Data Entry| back office| non voice| Voice| Fresher| trainee
17147, Walk-in For Sub-station Operator @ Sunguvarchatram Chennai - Sodexo Electrical Maintenance| Utility Maintenance| ITI Electrical| Electrician| Electrical Technician| iti
17148, Allianz Worldwide BPO Voice Process!! Day Shift Salary upto 20k customer calling| chat process| cce| email process| customer service| outbound process| interpersonal skills| customer support| inbound process| cse| non voice| bpo operations| cso| customer care executive| communication skills
17149," Technical Solutions Engineer , Payments Engineering Operations SQL| Javascript| Perl| Python| Troubleshooting| Recruitment| Computer science| Account management| Operational excellence| Project management"
17150, Assistant Manager- Training Coordination analytics reporting| sales training| training analysis| training coordinator| training| training manager| training coordination
17151, OPPORTUNITY To Work WITH CAPTIVE UNIT COMPANY Communication Skills| voice based process| Captive Unit
17152, Manager - Online Reputation Management Online Reputation Management| Social Media| Online Marketing| Marketing
17153, Data Engineer Javascript| SQL| Web services| server| technical| analytical| software| scala| usage| JSON| bootstrap| tools| java| web| design| hadoop| programming| Python| architecture| interfaces| it| nosql| Product management| Computer science| Machine learning| agile
17154, Executive Assistant To Vice President Sarjapur BLR Team Management| executive secretary| Travel Desk| Executive Assistant| HR Administration| personal assistant
17155, Store Officer Training| Sales
17156, Frontend Developer - React.js/angularjs/webapi AngularJS| Javascript| React.js
17157, Sales Manager Hospitality| Administration| Sales Executive| Origin| Group| Interpersonal skills| level| Time| Management| Business Executive
17158, Customer Support Engineer Help Desk| Customer Service| data analysis| customer relationship
17159, Netsuite Developer net suite| Netsuite
17160, Sales Manager Cold calling| microsoft| Business Executive| Lead generation| Application software| Building| Target| Relationship| level| Typing
17161, Walk-in for Telecaller -customer Outreach Executive Bangalore verbal communication| communication skills| Telecalling| telemarketing| telecaller| telesales| tele marketing executive| customer care executive| customer support executive
17162, Search Engine Optimizer (SEO) Analytical skills| CSS| Online marketing| Competitor analysis| Javascript| XHTML| HTML| Management| SEO| Search engine optimization
17163, IOS Developer algorithms| Ios Development| IPhone SDK| Objective C| JSON| Cocoa| SQL| XML| SQLite| Swift| Media Player| data structures| API| DBMS| XCode
17164, Executive Sales & Marketing Sales Executive Activities| Marketing| Business Development| Corporate Sales| Institutional Sales| Dealer Network| Channel Sales| Distributor Sales| Industrial Sales| Sales
17165, Customer Service Executives- Naukri.com Customer Service| Customer Retention| client satisfaction| client handling| customer support| operations| calling| inbound| outbound| voice process
17166, Urgently Hiring for Leading International Bpo's- upto 40k - cabs international bpo| Customer Support Executive| Customer Service Executive| Customer Service Representative| US Process| UK Process| Sales
17167,MongodbApplication Development|Communication Skills|Rest|C|Design Development|Business Process|Javascript|MongoDB
17168, New job opening for position of Accountat assembly language| Six Sigma| PMP| C| JavaScript| .NET| HTML| Oracle| Python| SQL
17169, Executive - Computer System Validation (csv) Gxp| Computer System Validation| Capa| Change Control| Root Cause| Project Planning
17170, ANDROID DEVELOPER Rest| Mobile development| MySQL| SQLite| Programming| JSON| Android SDK| Database management system| Solid
17171, Editor Editing| Writing| Content Writing| Quality Control| journalism| mass communication
17172, Walk In - Fresh Graduates (Non Engineering) Housekeeping| Administration| Staff Welfare| Stationary| Accommodation| Security
17173, Sales Executive (TL-0179--MS1) Relationship management| Career development| large| Corporate| Service| HR| Catering| Concept selling| Corporate sales| gifts
17174, Senior Associate Research| Testing
17176, Senior IT Support Specialists windows| mac| laptop| it support| team leading| desktop support| service desk| technical voice process| technical support
17177, Exhibition Tour Guide Tour Guide
17178, Dot Net Maven| Content management| jQuery| XML| Web development| Javascript| Agile| Application development| Scrum| MVC
17179," Relationship Manager, Priority Banking Direct sales| MIS| Customer service| Relationship management| Sales| Operational risk| Relationship building| Sales process| Risk management"
17180, Manager/Assistant Manager - Business Development digital marketing| secondary| channels| english| interpersonal skills| networking| manager business development| monitoring| application development
17181, Sales Manager Sales strategy| Transportation| Branch sales| query| Management| Budgeting| stock| Monitoring
17182, Senior PHP/ Laravel Developer - Mysql Application Designing| jQuery| MySQL| Javascript| PHP| MVC| Laravel
17183, IOS Application Design Services Company In Application design| IOS
17184," Looking for Sales Executive-mumbai, Medtronic India, Medical Devices medical devices| surgical."
17185, Senior Travel Consultant / Travel Consultant Amadeus| Galileo| Fares| IATA| Travel| GDS| Go Getter
